"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000028063.15",10774.1533669511,3.84302664805636,0.186946718327776,20.5568018654296,6.6899839780595e-94,1.05708436837318e-89,"Lmna"
"ENSMUSG00000032011.5",769.473744548332,6.53032390299954,0.338949928288311,19.2663380575931,1.02969191903142e-82,8.13508100630774e-79,"Thy1"
"ENSMUSG00000062184.11",1374.08065650275,2.35206405750499,0.133650079685081,17.59867306512,2.52163272021868e-69,1.32814395373918e-65,"Hs6st2"
"ENSMUSG00000045136.6",478.479530519567,4.81929487120448,0.293777762926252,16.404559770626,1.77408040667549e-60,7.00806112646985e-57,"Tubb2b"
"ENSMUSG00000030494.13",290.226822382995,-3.97098387929913,0.249116527542836,-15.9402666634245,3.32930077628363e-57,1.05212563132115e-53,"Rhpn2"
"ENSMUSG00000060548.13",297.220024258084,7.707524699076,0.59767848545897,12.8957706971119,4.75485626708026e-38,1.25219139793559e-34,"Tnfrsf19"
"ENSMUSG00000025921.7",1388.17856840497,-2.1743589223848,0.170864759396151,-12.7256136962891,4.26113600639345e-37,9.61860143386042e-34,"Rdh10"
"ENSMUSG00000025969.15",15485.3283174155,1.72315738166018,0.141509176673063,12.1770009703419,4.12160459978628e-34,7.23616380902478e-31,"Nrp2"
"ENSMUSG00000032085.5",1378.63827082898,3.37198983261154,0.276782897835983,12.1827969104136,3.83887339704568e-34,7.23616380902478e-31,"Tagln"
"ENSMUSG00000015222.18",182.544741663034,6.71206883847536,0.5696025611615,11.7837757344147,4.73246560776315e-32,7.47776890682656e-29,"Map2"
"ENSMUSG00000054196.7",507.713129228473,4.22606533541646,0.360552921483846,11.7210680696309,9.94106739242792e-32,1.42798914425231e-28,"Cthrc1"
"ENSMUSG00000037999.13",118.684982557634,-4.2993579957011,0.36862924402009,-11.6630952791873,1.96757179122593e-31,2.59080015609674e-28,"Arap2"
"ENSMUSG00000087579.7",158.556650725444,-5.55434993240692,0.490487457433048,-11.3241426426589,9.96490629927551e-30,1.21119603411425e-26,"Hectd2os"
"ENSMUSG00000036446.5",14204.0884435592,4.33875710477134,0.384261122216763,11.2911685672011,1.45094650820328e-29,1.63760041258e-26,"Lum"
"ENSMUSG00000005583.16",316.281998571077,8.98028991461616,0.797178265837469,11.2650962770316,1.95138545062243e-29,2.05558943368567e-26,"Mef2c"
"ENSMUSG00000037902.18",1003.51378795555,1.91159793277278,0.169860735762926,11.2539129433703,2.21540793330576e-29,2.18785379713527e-26,"Sirpa"
"ENSMUSG00000066000.12",111.223269690314,-4.26712608105594,0.38251569047407,-11.1554275741408,6.73681736163567e-29,6.26167359595325e-26,"Zfp979"
"ENSMUSG00000042228.14",407.524856582291,2.75849992576341,0.247834401185774,11.1304157637731,8.92183919039214e-29,7.8318878359659e-26,"Lyn"
"ENSMUSG00000057722.17",132.444199156445,4.82968858700881,0.434851240754184,11.1065305427954,1.16602324927005e-28,9.69701755879794e-26,"Lepr"
"ENSMUSG00000027848.12",2685.11397307406,2.85648657459502,0.261945144226478,10.9049037081035,1.09208834815369e-27,8.62804399458821e-25,"Olfml3"
