"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000028063.15",2171.2241527855,3.7916070892326,0.183039984553622,20.7146383806749,2.55617803285509e-95,3.33478986166275e-91,"Lmna"
"ENSMUSG00000032011.5",173.25810882488,5.41690658583148,0.430679622592324,12.5775780921009,2.80498045984e-36,1.82968875395363e-32,"Thy1"
"ENSMUSG00000045136.6",145.904064481424,4.40537311808079,0.355028795502533,12.4084952372528,2.35028364643738e-35,1.0220600150474e-31,"Tubb2b"
"ENSMUSG00000068457.14",90.8882308489423,4.72673120100186,0.431359593588615,10.9577514242322,6.09960718338037e-28,1.98938688285951e-24,"Uty"
"ENSMUSG00000069045.11",424.802814933334,4.46046194631154,0.416227390529252,10.7164065792015,8.52514048897051e-27,2.22437965638218e-23,"Ddx3y"
"ENSMUSG00000069049.11",278.769154319984,4.32288292727434,0.404773943672451,10.6797460529537,1.26617548714425e-26,2.75308756754732e-23,"Eif2s3y"
"ENSMUSG00000016024.9",171.368448462731,-2.80805407493912,0.266096756233264,-10.5527557520376,4.93286724628049e-26,9.19345515642505e-23,"Lbp"
"ENSMUSG00000056673.14",122.143927374614,4.37885524335482,0.41636728369016,10.5168091127288,7.22800983222405e-26,1.17870770338994e-22,"Kdm5d"
"ENSMUSG00000027848.12",557.7953566848,2.85604827131352,0.274652916627735,10.3987545676954,2.51194791637213e-25,3.64120805744342e-22,"Olfml3"
"ENSMUSG00000036446.5",2153.05517579804,3.89576410926101,0.375938382381924,10.3627729751287,3.66189061266061e-25,4.77730249327704e-22,"Lum"
"ENSMUSG00000041559.7",1473.01068056244,7.15968532147652,0.730059196788291,9.80699284794128,1.05052549477494e-22,1.24592323680308e-19,"Fmod"
"ENSMUSG00000025921.7",196.011606130403,-2.18007071687504,0.22510083627724,-9.68486280606265,3.49677690826225e-22,3.80157929543244e-19,"Rdh10"
"ENSMUSG00000027656.7",702.394298612896,-2.34193101889195,0.246330435088871,-9.50727431649699,1.95723551500733e-21,1.9641611175989e-18,"Ccn5"
"ENSMUSG00000025969.15",1463.04611120778,1.5950297536886,0.169920127323863,9.3869383151327,6.17696708261144e-21,5.75605089712492e-18,"Nrp2"
"ENSMUSG00000054196.7",127.037295092383,3.92460961882246,0.43013101786171,9.12421903059373,7.22553236648719e-20,6.28428635021279e-17,"Cthrc1"
"ENSMUSG00000031626.18",434.867348483574,2.38834000566542,0.276179656784273,8.64777671706276,5.2512450103886e-18,4.2817339003456e-15,"Sorbs2"
"ENSMUSG00000064294.12",82.7524657466295,-2.62551474687799,0.303891776887934,-8.63963735302454,5.63917317726703e-18,4.32756783944857e-15,"Aox3"
"ENSMUSG00000062184.11",137.722640157021,2.32258266567802,0.269169695942644,8.62869297951329,6.2057024716067e-18,4.49775524692117e-15,"Hs6st2"
"ENSMUSG00000045954.7",481.952640416635,-1.82427726703964,0.218209584532486,-8.36020686693552,6.26083757812126e-17,4.29888879179842e-14,"Cavin2"
"ENSMUSG00000075602.10",565.250217705798,-2.39546013707639,0.289273140214583,-8.28096288269087,1.22183271549134e-16,7.97001480314999e-14,"Ly6a"
"ENSMUSG00000070469.12",371.276408948095,3.00077719975203,0.363047263874075,8.26552765535473,1.39078195648906e-16,8.64006733540776e-14,"Adamtsl3"
"ENSMUSG00000070858.12",87.1708015159179,7.45340955546839,0.902944594236357,8.25455914243767,1.52463966324114e-16,9.04111320301995e-14,"Gm1673"
"ENSMUSG00000075012.4",82.1821986613893,3.45914219831938,0.422309576113827,8.19101056185149,2.59041854687594e-16,1.46933045054537e-13,"Fjx1"
"ENSMUSG00000079017.3",1355.17958737313,-1.87382097340162,0.230275457319935,-8.13730214765446,4.04183140174114e-16,2.19707218612979e-13,"Ifi27l2a"
"ENSMUSG00000029673.17",66.5499482237001,5.02529813923205,0.620049567061965,8.10467163624331,5.28881595126621e-16,2.71372347760109e-13,"Auts2"
"ENSMUSG00000036139.6",45.2525014161874,5.47274897069268,0.675485015196785,8.1019546660089,5.40830985877881e-16,2.71372347760109e-13,"Hoxc9"
"ENSMUSG00000030862.13",60.1834361066768,5.15077030071126,0.638066379763532,8.07246779342948,6.88913475898688e-16,3.32872785428677e-13,"Cpxm2"
"ENSMUSG00000066026.14",192.248451685078,-2.39221458211291,0.296623443392681,-8.06481967423594,7.33440450665533e-16,3.4173086140652e-13,"Dhrs3"
"ENSMUSG00000025964.15",848.930350960545,1.68795215207435,0.217707383421458,7.75330687249434,8.95299098487437e-15,4.02761104788521e-12,"Adam23"
"ENSMUSG00000021379.2",1289.0383919418,1.41756012895078,0.19283917702109,7.35099657055553,1.96734469161595e-13,8.55532628227388e-11,"Id4"
"ENSMUSG00000025491.14",2530.42888794427,-1.18688596096763,0.164073106699704,-7.23388485073266,4.69369790105808e-13,1.9752897682969e-10,"Ifitm1"
"ENSMUSG00000037820.15",1139.00664547993,-1.67535354453931,0.233801974024351,-7.16569460771454,7.7393128582541e-13,3.15522111089947e-10,"Tgm2"
"ENSMUSG00000022836.11",154.014610362984,3.19213989814971,0.447860418914945,7.12753296190691,1.02183808193944e-12,4.03966655060059e-10,"Mylk"
"ENSMUSG00000021994.15",164.411637666108,-1.85336736805175,0.261736919954551,-7.08103147379275,1.43085397253407e-12,5.49027086049397e-10,"Wnt5a"
"ENSMUSG00000028755.3",260.715383856158,-1.75356026982682,0.247792446154421,-7.07673013056267,1.47595559719935e-12,5.50151906316078e-10,"Cda"
"ENSMUSG00000041556.8",49.148743487076,3.49185703798485,0.498579885312002,7.00360592325081,2.49457150593489e-12,9.04004996289626e-10,"Fbxo2"
"ENSMUSG00000040605.7",97.4940332905119,3.44703383156097,0.492897010329012,6.99341598615104,2.68272540047937e-12,9.45914474990646e-10,"Bace2"
"ENSMUSG00000024678.6",230.443667748275,-3.33108861289895,0.477665532767507,-6.9736842715011,3.08746568901727e-12,1.05997572049788e-09,"Ms4a4d"
"ENSMUSG00000098557.1",77.630883935695,4.42640494367521,0.635870493304959,6.96117368281836,3.3744943023753e-12,1.128811606892e-09,"Kctd12"
"ENSMUSG00000030849.18",258.760201473838,2.46291914420287,0.354681482619716,6.94403081325665,3.81067327817234e-12,1.24285108967591e-09,"Fgfr2"
"ENSMUSG00000033208.7",2672.21741472393,2.42602639785743,0.351059949353474,6.9105758213812,4.82690362416551e-12,1.53589718733813e-09,"S100b"
"ENSMUSG00000033585.5",53.007518914364,6.74454078986144,0.985672407622533,6.84257846491762,7.77802762933393e-12,2.41600353457834e-09,"Ndn"
"ENSMUSG00000063683.12",79.2308176339579,-2.23154155104945,0.329890208134011,-6.76449769052538,1.33772493618463e-11,4.05859523661969e-09,"Glyat"
"ENSMUSG00000114463.1",33.2628131784336,-3.40828359474433,0.507822034763327,-6.71157090757746,1.92540189418941e-11,5.70881661627161e-09,"Gm48162"
"ENSMUSG00000044548.11",53.48508162059,2.95368528742217,0.442255777321259,6.67868106848174,2.41102209806742e-11,6.98982095364169e-09,"Dact1"
